chap,text
Chapters 1–4,"Chapters 1–4 Summary: Chapters 1–2 
 The news that a wealthy young gentleman named Charles
Bingley has rented the manor known as Netherfield Park causes a
great stir in the neighboring village of Longbourn, especially in
the Bennet household. The Bennets have five unmarried daughters,
and Mrs. Bennet, a foolish and fussy gossip, is the sort who agrees
with the novel’s opening words: “It is a truth universally acknowledged,
that a single man in possession of a good fortune, must be in want
of a wife.” She sees Bingley’s arrival as an opportunity for one
of the girls to obtain a wealthy spouse, and she therefore insists
that her husband call on the new arrival immediately. Mr. Bennet
torments his family by pretending to have no interest in doing so,
but he eventually meets with Mr. Bingley without their knowing.
When he reveals to Mrs. Bennet and his daughters that he has made
their new neighbor’s acquaintance, they are overjoyed and excited. Summary: Chapters 3–4 
 Eager to learn more, Mrs. Bennet and the girls question
Mr. Bennet incessantly. A few days later, Mr. Bingley returns the
visit, though he does not meet Mr. Bennet’s daughters. The Bennets
invite him to dinner shortly afterward, but he is called away to
London. Soon, however, he returns to Netherfield Park with his two
sisters, his brother-in-law, and a friend named Darcy. Mr. Bingley and his guests go to a ball in the nearby
town of Meryton. The Bennet sisters attend the ball with their mother.
The eldest daughter, Jane, dances twice with Bingley. Within Elizabeth’s hearing,
Bingley exclaims to Darcy that Jane is “the most beautiful creature”
he has ever beheld. Bingley suggests that Darcy dance with Elizabeth,
but Darcy refuses, saying, “she is tolerable, but not handsome enough
to tempt me.” He proceeds to declare that he has no interest in
women who are “slighted by other men.” Elizabeth takes an immediate
and understandable disliking to Darcy. Because of Darcy’s comments
and refusal to dance with anyone not rich and well bred, the neighborhood
takes a similar dislike; it declares Bingley, on the other hand,
to be quite “amiable.” At the end of the evening, the Bennet women return to
their house, where Mrs. Bennet regales her husband with stories
from the evening until he insists that she be silent. Upstairs,
Jane relates to Elizabeth her surprise that Bingley danced with
her twice, and Elizabeth replies that Jane is unaware of her own
beauty. Both girls agree that Bingley’s sisters are not well-mannered,
but whereas Jane insists that they are charming in close conversation,
Elizabeth continues to harbor a dislike for them. The narrator then provides the reader with Bingley’s background:
he inherited a hundred thousand pounds from his father, but for
now, in spite of his sisters’ complaints, he lives as a tenant. His
friendship with Darcy is “steady,” despite the contrast in their characters,
illustrated in their respective reactions to the Meryton ball. Bingley,
cheerful and sociable, has an excellent time and is taken with Jane;
Darcy, more clever but less tactful, finds the people dull and even
criticizes Jane for smiling too often (Bingley’s sisters, on the
other hand, find Jane to be “a sweet girl,” and Bingley therefore
feels secure in his good opinion of her). Analysis: Chapters 1–4 The opening sentence of  "
Chapters 43–45,"Chapters 43–45 Summary: Chapter 43 
 As Elizabeth tours the beautiful estate of Pemberley with
the Gardiners, she imagines what it would be like to be mistress
there, as Darcy’s wife. The housekeeper, Mrs. Reynolds, shows them
portraits of Darcy and Wickham and relates that Darcy, in his youth, was
“the sweetest, most generous-hearted boy in the world.” She adds
that he is the kindest of masters: “I have never had a cross word from
him in my life.” Elizabeth is surprised to hear such an agreeable
description of a man she considers unbearably arrogant. While Elizabeth and the Gardiners continue to explore
the grounds, Darcy himself suddenly appears. He joins them in their walk,
proving remarkably polite. Elizabeth is immediately embarrassed
at having come to Pemberley after the events of recent months, and
she assures Darcy that she came only because she thought that he
was away. Darcy tells her that he has just arrived to prepare his
home for a group of guests that includes the Bingleys and his own
sister, Georgiana. He asks Elizabeth if she would like to meet Georgiana,
and Elizabeth replies that she would. After Darcy leaves them, the
Gardiners comment on his good looks and good manners, so strikingly
divergent from the account of Darcy’s character that Elizabeth has
given them. Summary: Chapters 44–45 The next day, Darcy and Georgiana, who is pretty but very
shy, visit Elizabeth at her inn. Bingley joins them, and after a
brief visit, they invite Elizabeth and the Gardiners, who perceive
that Darcy is in love with their niece, to dine at Pemberley. The
following morning, Elizabeth and Mrs. Gardiner visit Pemberley to
call on Miss Darcy. Bingley’s sisters are both present; when Darcy
enters the room, Miss Bingley makes a spiteful comment to Elizabeth,
noting that the departure of the militia from Meryton “must be a
great loss to your family.” Elizabeth dodges the subject of Wickham.
This deflection proves fortunate given the presence of Georgiana,
as references to the man with whom she almost eloped would embarrass
her. After the guests depart, Miss Bingley attempts to criticize
Elizabeth to Darcy, and makes a light remark about how he once thought Elizabeth
“rather pretty.” Darcy replies that he now considers Elizabeth “one
of the handsomest women of my acquaintance.” Analysis: Chapters 43–45 Elizabeth’s visit to Pemberley constitutes a critical
step in her progress toward marrying Darcy. The house itself is
representative, even a symbol, of its owner—the narrator describes
it as a “large, handsome, stone building, standing well on rising
ground . . . in front, a stream of some natural importance was swelled
into greater, but without any artificial appearance. Its banks were
neither formal, nor falsely adorned.” Darcy is similarly large and
handsome, elevated socially just as his house is elevated physically.
The description of the way the stream’s “natural importance was
swelled into greater” reminds the reader of Darcy’s pride; that
the stream is “neither formal, nor falsely adorned,” however, reminds
the reader of Darcy’s honesty and lack of pretense. Most importantly,
the property delights Elizabeth, foreshadowing her eventual realization
that the master of Pemberley similarly delights her. Mrs. Reynolds’s glowing descriptions of Darcy continue
the process of breaking down Elizabeth’s initial prejudice against
him. As Mrs. Reynolds reveals a hidden side of Darcy, Elizabeth
realizes how hastily she has judged him. This ability to admit the
error of her ways demonstrates Elizabeth’s emotional maturity; unlike
Miss Bingley, who resorts to denigrating Elizabeth when she realizes
that Darcy favors her, Elizabeth does not allow arrogance to prevent
her from confronting her own shortcomings. "
Chapters 13–17,"Chapters 13–17 Summary: Chapters 13–15 The morning after his daughters return from Netherfield,
Mr. Bennet informs his wife of an imminent visit from a Mr. William
Collins, who will inherit Mr. Bennet’s property. Mr. Collins, the
reader learns from a letter he sends to the Bennets, is a clergyman
whom the wealthy noblewoman Lady Catherine de Bourgh has recently selected
to serve her parish. His letter, as Mr. Bennet puts it, contains “a
mixture of servility and self-importance,” and his personality is similar.
He arrives at Longbourn and apologizes for being entitled to the
Bennets’ property but spends much of his time admiring and complimenting
the house that will one day be his. At dinner, Mr. Collins lavishes praise on Lady Catherine
de Bourgh and her daughter, a lovely invalid who will one day inherit the
de Bourgh fortune. After the meal, he is asked to read to the girls, but
he refuses to read a novel and reads from a book of sermons instead.
Lydia becomes so bored that she interrupts his reading with more
gossip about the soldiers. Mr. Collins is offended and abandons
the reading, choosing to play backgammon with Mr. Bennet. Mr. Collins is in search of a wife and when Mrs. Bennet
hints that Jane may soon be engaged, he fixes his attention on Elizabeth.
The day after his arrival, he accompanies the sisters to the town
of Meryton, where they encounter one of Lydia’s officer friends,
Mr. Denny. Denny introduces his friend, Mr. Wickham, who has just
joined the militia, and the young women find Wickham charming. While
they converse, Darcy and Bingley happen by, and Elizabeth notices
that Wickham and Darcy are extremely cold to each other. Darcy and Bingley depart, and the company pays a visit
to Mrs. Phillips, Mrs. Bennet’s sister, who invites the Bennets
and Mr. Collins to dine at her house the following night. The girls
convince her to invite Wickham as well. They return home and Mr.
Collins spends the evening telling Mrs. Bennet how greatly her sister’s
good breeding impresses him. Summary: Chapters 16–17 At the Phillips’s dinner party, Wickham proves the center
of attention and Mr. Collins fades into the background. Eventually,
Wickham and Elizabeth find themselves in conversation, and she hears his
story: he had planned on entering the ministry, rather than the militia,
but was unable to do so because he lacked money. Darcy’s father,
Wickham says, had intended to provide for him, but Darcy used a
loophole in the will to keep the money for himself. Elizabeth, who instinctively likes and trusts Wickham,
accepts his story immediately. Later in the evening, while she is
watching Mr. Collins, Wickham tells her that Darcy is Lady Catherine
de Bourgh’s nephew. He describes Lady Catherine as “dictatorial
and insolent.” Elizabeth leaves the party thinking of nothing “but
Mr. Wickham, and what he had told her, all the way home.” She decides that
Darcy deserves nothing but contempt. "
Chapters 46–49,"Chapters 46–49 Summary: Chapter 46 When Elizabeth returns to her inn, she finds
two letters from Jane: the first relates that Lydia has eloped with
Wickham, the second that there is no word from the couple and that
they may not be married yet. Elizabeth panics, realizing that if
Wickham does not marry Lydia, the reputations of both Lydia and
the entire family will be ruined. As Elizabeth rushes out to find the Gardiners, Darcy appears
and she tells him the story. Darcy immediately blames himself for
not exposing Wickham, and Elizabeth blames herself for the same
reason. She decides to return home immediately. After an apology
to Darcy and his sister for breaking their dinner engagement, Elizabeth and
the Gardiners hasten back to the Bennet home in Longbourn. Summary: Chapter 47 On the way home, Mr. Gardiner attempts to reassure his
niece that Wickham will certainly marry Lydia because he will not
want his own career and reputation ruined. Elizabeth replies by
telling them generally about Wickham’s past behavior, without revealing
the details of his romance with Darcy’s sister. When she gets home,
Elizabeth learns that her father has gone to London in search of
Lydia and Wickham. Mrs. Bennet, of course, is hysterical, blaming
Colonel Forster for not taking care of her daughter. In private,
Jane assures Elizabeth that there was no way anyone could have known about
their sister’s attachment to Wickham. Fretfully, they examine the
letter that Lydia left for Colonel Forster’s wife, in which she looks
forward to signing her name “Lydia Wickham.” Summary: Chapter 48 Mr. Gardiner follows Mr. Bennet to London and writes to
Longbourn a few days later with the news that the search has been
unsuccessful so far. He reports that Mr. Bennet is now going to
every hotel in turn looking for the couple. Meanwhile, a letter
arrives from Mr. Collins that, in his usual manner, accuses the
Bennets of poor parenting and notes that Lydia’s behavior reflects
poorly on the family as a whole. More time passes before Mr. Gardiner
writes to say that attempts to trace Wickham through friends and
family have failed. The letter further says, to Mrs. Bennet’s consternation,
that Mr. Bennet is returning home. Summary: Chapter 49 Two days after Mr. Bennet returns to Longbourn, Mr. Gardiner writes
to tell him that Wickham and Lydia have been found and that Wickham
will marry her if the Bennets will guarantee him a small income.
Mr. Bennet gladly acquiesces, deciding that marriage to a scoundrel
is better than a ruined reputation. The Bennets assume that the Gardiners have paid Wickham
a sizable amount to get him to agree to the wedding. Not “a farthing
less than ten thousand pounds,” Mr. Bennet guesses. The Bennets assume
that they owe a deep debt to their relatives. Mrs. Bennet is deliriously
happy at having Lydia married, even when her husband and daughters
point out how much it has probably cost. Her happiness is tempered
when her husband refuses to allow Wickham and Lydia to visit or
to provide his newly married daughter with money to purchase clothes. "
Chapters 5–8,"Chapters 5–8 Summary: Chapters 5–6 The Bennets’ neighbors are Sir William Lucas, his wife,
and their children. The eldest of these children, Charlotte, is
Elizabeth’s closest friend. The morning after the ball, the women
of the two families discuss the evening. They decide that while
Bingley danced with Charlotte first, he considered Jane to be the
prettiest of the local girls. The discussion then turns to Mr. Darcy,
and Elizabeth states that she will never dance with him; everyone
agrees that Darcy, despite his family and fortune, is too proud
to be likable. Bingley’s sisters exchange visits with the Bennets and
attempt to befriend Elizabeth and Jane. Meanwhile, Bingley continues
to pay attention to Jane, and Elizabeth decides that her sister
is “in a way to be very much in love” with him but is concealing
it very well. She discusses this with Charlotte Lucas, who comments
that if Jane conceals it too well, Bingley may lose interest. Elizabeth
says it is better for a young woman to be patient until she is sure
of her feelings; Charlotte disagrees, saying that it is best not
to know too much about the faults of one’s future husband. Darcy finds himself attracted to Elizabeth. He begins
listening to her conversations at parties, much to her surprise.
At one party at the Lucas house, Sir William attempts to persuade
Elizabeth and Darcy to dance together, but Elizabeth refuses. Shortly
afterward, Darcy tells Bingley’s unmarried sister that “Miss Elizabeth
Bennet” is now the object of his admiration. Summary: Chapters 7–8 The reader learns that Mr. Bennet’s property is entailed,
meaning that it must pass to a man after Mr. Bennet’s death and
cannot be inherited by any of his daughters. His two youngest children,
Catherine (nicknamed Kitty) and Lydia, entertain themselves by beginning
a series of visits to their mother’s sister, Mrs. Phillips, in the town
of Meryton, and gossiping about the militia stationed there. One night, while the Bennets are discussing the soldiers
over dinner, a note arrives inviting Jane to Netherfield Park for
a day. Mrs. Bennet conspires to send Jane by horse
rather than coach, knowing that it will rain and that Jane will
consequently have to spend the night at Mr. Bingley’s house. Unfortunately,
their plan works out too well: Jane is soaked, falls ill, and is
forced to remain at Netherfield as an invalid. Elizabeth goes to
visit her, hiking over on foot. When she arrives with soaked and
dirty stockings she causes quite a stir and is certain that the
Bingleys hold her in contempt for her soiled clothes. Jane insists
that her sister spend the night, and the Bingleys consent. That night, while Elizabeth visits Jane, the Bingley sisters
poke fun at the Bennets. Darcy and Mr. Bingley defend them, though Darcy
concedes, first, that he would not want his sister ever to go out
on such a walking expedition and, second, that the Bennets’ lack
of wealth and family make them poor marriage prospects. When Elizabeth
returns to the room, the discussion turns to Darcy’s library at
his ancestral home of Pemberley and then to Darcy’s opinions on
what constitutes an “accomplished woman.” After he and Bingley list
the attributes that such a woman would possess, Elizabeth declares
that she “never saw such capacity, and taste, and application, and
elegance, as you describe, united,” implying that Darcy is far too
demanding. "
Chapters 9–12,"Chapters 9–12 Summary: Chapters 9–10 The next day, Mrs. Bennet arrives with Lydia and Catherine
to visit Jane. To Elizabeth’s dismay, Mrs. Bennet spends much of
her visit trying to convince Bingley to remain at Netherfield. During
her stay, Mrs. Bennet makes a general fool of herself, first by
comparing country life to the city and then by prattling on about
Jane’s beauty. Near the end of the visit, fifteen-year-old Lydia
asks Bingley whether he will hold a ball at Netherfield Park. He
replies that he must wait until Jane is fully recovered to hold
a ball. In the evening, Elizabeth observes Miss Bingley piling
compliments upon Darcy as he writes to his sister. The conversation
turns to Bingley’s style of letter writing and then to Bingley’s
impetuous behavior, which entangles Elizabeth and Darcy in an argument
over the virtues of accepting the advice of friends. Afterward,
Miss Bingley plays “a lively Scotch air” on the pianoforte, and
Elizabeth again refuses to dance with Darcy. Her refusal only increases
his admiration, and he considers that “were it not for the inferiority
of her connections, he should be in some danger.” Miss Bingley,
observing his attraction, becomes jealous and spends the following
day making fun of Elizabeth’s family, inviting Darcy to imagine
them connected to his proud and respectable line. That night, Miss Bingley begins reading in imitation of
Darcy—a further attempt to impress him. She chooses her book merely because
it is the second volume of the one that Darcy is reading. Of course,
being uninterested in literature, she is quickly bored and says
loudly, “I declare after all there is no enjoyment like reading! How
much sooner one tires of any thing than of a book!—When I have a
house of my own, I shall be miserable if I have not an excellent
library.” Summary: Chapters 11–12 Miss Bingley spends the following night in similar fashion,
trying to attract Darcy’s attention: first by reading, then by criticizing
the foolishness of balls, and finally by walking about the room.
Only when she asks Elizabeth to walk with her, however, does Darcy
look up, and then the two women discuss the possibility of finding
something to ridicule in his character. He states that his only
fault is resentment—“my good opinion once lost is lost forever.”
Elizabeth replies that it is hard to laugh at a “propensity to hate
every body,” and Miss Bingley, observing Elizabeth’s monopolization
of Darcy’s attention once again, insists on music. The next morning, Elizabeth writes to her mother to say
that she and Jane are ready to return home. Mrs. Bennet wishes Jane
to stay longer with Bingley, and she refuses to send the carriage.
Elizabeth, anxious to be away, insists on borrowing Bingley’s carriage
and she and her sister leave Netherfield Park. Darcy is glad to
see them go, as Elizabeth attracts him “more than he liked,” considering
her unsuitability as a prospect for matrimony. Analysis: Chapters 9–12 The continuation of Elizabeth’s visit to Netherfield accentuates
the respective attitudes of Miss Bingley and Darcy toward their
guest: jealousy on the part of the former, admiration on that of
the latter. Elizabeth poses a separate threat to each of them. Miss
Bingley fears her as a rival for Darcy’s affection, and Darcy fears
that he will succumb to his growing attraction to her despite the
impracticality of marriage to one of such inferior rank and family.
The anxiety created by class-consciousness thereby becomes a self-perpetuating,
warping institution. Darcy, concerned that he may affect his own
reputation by linking it to the poor reputation of another, tries to
avoid talking to Elizabeth entirely on the final day she spends
at Netherfield. He must tie himself up in a sort of logical knot;
class-consciousness transforms Elizabeth, who is perfect for him,
as something to be feared. Miss Bingley demonstrates how, once a class
system develops, it maintains its coherence. Miss Bingley feels threatened
by Elizabeth and knows she cannot compete with Elizabeth on the
basis of her virtues or talents. Her means of defense is to bring
class-anxiety to bear; by the luck of her birth, Miss Bingley has been
stamped as superior. She now uses the entire social institution of
class to maintain her superiority, even though all logic and experience
show that superiority to be a lie. "
Chapters 35–42,"Chapters 35–42 Summary: Chapters 35–36 The following day, Elizabeth takes a walk and runs into
Darcy, who gives her a letter. He walks away, and Elizabeth begins
to read it. In the letter, Darcy again admits to attempting to break
Bingley’s romance with Jane, but he defends himself by arguing that
Jane’s attachment to his friend was not yet strong enough to lead
to heartbreak. He adds that he did not wish Bingley to involve himself
with the social encumbrance of marrying into the Bennet family,
with its lack of both wealth and propriety. In relation to Wickham,
the letter states that Darcy did provide for him after his father’s
death and that the root of their quarrel lay in an attempt by Wickham
to elope with Darcy’s sister, Georgiana, in the hopes of obtaining
her fortune. Elizabeth is stunned by this revelation, and while she
dismisses some of what Darcy says about Jane and Bingley, his account
of Wickham’s doings causes her to reappraise the officer and decide that
she was probably wrong to trust him. Her feelings toward Darcy suddenly
enter into flux. Summary: Chapters 37–39 Darcy and Colonel Fitzwilliam leave Rosings. A week later,
Elizabeth departs the parsonage, despite Lady Catherine’s insistence
that she stay another two weeks. Before Elizabeth leaves, Mr. Collins informs
her that he and Charlotte seem to be made for one another (which
is clearly not true). He wishes Elizabeth the same happiness in
marriage that he himself enjoys. After a short stay at the Gardiners’s London house, Elizabeth, joined
by Jane, returns home. The two are met by Catherine and Lydia, who
talk of nothing but the soldiers as they ride home in their father’s
coach. The regiment is to be sent to Brighton for the summer, and
the two girls are hoping to convince their parents to summer there
also. In the course of the conversation, Lydia mentions, with some
satisfaction, that Wickham is no longer interested in Miss King,
who has gone to Liverpool to stay with her uncle. Mr. and Mrs. Bennet welcome their daughters home, and
the Lucases come for dinner. Lydia prattles about the exciting coach ride
and insists that the girls go to Meryton to see the officers. Not wanting
to see Wickham, Elizabeth refuses. Summary: Chapters 40–42 Elizabeth tells Jane the truth about Wickham. They debate
whether to expose him publicly, ultimately deciding against it.
Meanwhile, Mrs. Bennet continues to bemoan the loss of Mr. Bingley
as a husband for Jane and voices her displeasure at the happy marriage
of Charlotte and Mr. Collins. Lydia is invited to spend the summer
in Brighton by the wife of a Colonel Forster. Mr. Bennet allows
her to go, assuming that the colonel will keep her out of trouble. "
Chapters 18–23,"Chapters 18–23 Summary: Chapter 18 Much to Elizabeth’s dismay, Wickham does not attend the
ball. Mr. Denny tells Elizabeth and Lydia that Darcy’s presence
keeps Wickham away from Netherfield. Elizabeth’s unhappiness increases
during two clumsy dances with Mr. Collins and reaches its peak when she
finds herself dancing with Darcy. Their conversation is awkward,
especially when she mentions Wickham, a subject Darcy clearly wishes
to avoid. At the end of the dance, Elizabeth encounters Miss Bingley,
who warns her not to trust Wickham. Elizabeth assumes that Bingley’s
sister is only being spiteful, however, and chooses to ignore the
warning. Jane then tells her sister that she has asked Bingley for
information about Wickham. But everything Bingley knows about the
officer comes from Darcy and is therefore (in Elizabeth’s mind)
suspect. Mr. Collins, meanwhile, realizes that Darcy is related
to his patroness, Lady Catherine. In spite of Elizabeth’s best attempts
to dissuade him, he introduces himself. Darcy treats Mr. Collins
with contempt, but Mr. Collins is so obtuse that he does not notice. At supper, Mrs. Bennet discusses the hoped-for union of
Bingley and Jane so loudly that Elizabeth criticizes her, noting
that Darcy is listening. Mrs. Bennet, however, ignores Elizabeth
and continues rambling about the impending marriage. At the end
of the meal, Mary performs a terrible song for the company, and
Mr. Collins delivers a speech of epic and absurd pomposity. Elizabeth
feels that her family has completely embarrassed itself. Summary: Chapters 19–21 The next day, Mr. Collins proposes marriage to Elizabeth,
assuming that she will be overjoyed. She turns him down as gently
as possible, but he insists that she will change her mind shortly.
Mrs. Bennet, who regards a match between her daughter and Mr. Collins
as advantageous, is infuriated. She tells Elizabeth that if she
does not marry Mr. Collins she will never see her again, and she
asks Mr. Bennet to order Elizabeth to marry the clergyman. Her husband
refuses and, befitting his wit and his desire to annoy his wife,
actually informs his daughter that if she were to marry Mr. Collins,
he would refuse to see her again. A few days after the refused proposal, Elizabeth encounters Wickham
in Meryton. He apologizes for his absence from the ball and walks
her home, where Elizabeth introduces him to her parents. That same
day, a letter arrives for Jane from Miss Bingley, informing her
that Bingley and his party are returning to the city indefinitely and
implying that Bingley plans to marry Darcy’s sister, Georgiana. Elizabeth
comforts Jane, telling her that this turn of events is all Miss
Bingley’s doing, not her brother’s, and that Bingley will return to
Netherfield. Summary: Chapters 22–23 Suddenly, news arrives that Mr. Collins has
proposed to Charlotte Lucas and that Elizabeth’s friend has accepted.
Elizabeth is shocked, despite Charlotte’s insistence that the match
is the best for which she could hope. Mrs. Bennet, of course, is
furious with her daughter for allowing a husband to escape her,
and as the days go by with no word from Bingley, Jane’s marriage
prospects, too, begin to appear limited. "
Chapters 24–26,"Chapters 24–26 Summary: Chapters 24–25 Miss Bingley sends another letter, this one praising the
beauty and charm of Darcy’s sister. The letter further states that
Bingley will remain in London all winter, putting an end to the
Bennets’s hopes that he might return to Netherfield. Elizabeth is
very upset by this news and complains to Jane that people lack “merit
or sense,” referring to Bingley for apparently abandoning Jane,
and to Charlotte Lucas for agreeing to marry Mr. Collins. Meanwhile,
Mrs. Bennet’s hopes of seeing her daughters wed fade rapidly. Mr.
Bennet seems amused: he encourages Elizabeth’s interest in Wickham,
so that she, like her sister, can be “crossed in love.” Mrs. Bennet’s brother, Mr. Gardiner, comes to stay with
the family. Immediately recognizing Jane’s sadness, the Gardiners
invite Jane to accompany them back to London when they finish their visit,
hoping that a change in scenery might raise Jane’s spirits. Jane accepts,
excited also that in London she might get an opportunity to see
Mr. Bingley. In the course of evenings spent with various friends and
the military officers, Mrs. Gardiner notices that Elizabeth and Wickham,
though not in any serious sort of love, show a definite preference
for each other. Because of his lack of money, Mrs. Gardiner does
not think of Wickham as a good match for Elizabeth, though she is
fond of Wickham’s stories of his life around Darcy’s estate at Pemberley,
which is near where Mrs. Gardiner grew up. Summary: Chapter 26 At the first opportunity, Mrs. Gardiner warns Elizabeth
that Wickham’s lack of money makes him an unsuitable match. She
further says that Elizabeth should be careful not to embarrass her
father by becoming attached to Wickham. Elizabeth responds carefully,
stating that she will try to keep Wickham from falling in love with
her and that she devoutly wishes not to upset her father, but concluding that
all she can do is her best. After Jane and the Gardiners depart for London, Mr. Collins returns
from a visit to his parish for his wedding. Elizabeth reluctantly
promises to visit Charlotte after her marriage. Meanwhile, Jane’s
letters from London recount how she called on Miss Bingley and how
Miss Bingley was cold to her and visited her only briefly in return.
Jane believes that Bingley’s sister views her as an obstacle to her
brother’s marrying Georgiana Darcy. Mrs. Gardiner writes to Elizabeth to ask about Wickham,
and Elizabeth replies that his attentions have shifted to another
girl, a Miss King, who has just inherited a large fortune. This
turn of events touches Elizabeth’s heart “but slightly . . . and
her vanity was satisfied with believing that she would have been
his only choice, had fortune permitted it.” The narrator then goes
on to point out that Elizabeth’s equanimity about Wickham trying
to marry for money is somewhat out of joint with her disgust that
Charlotte would do the same thing. As for Elizabeth, the very limited
pain that Wickham’s transfer of affections causes her makes her
believe she was never in love with him. Analysis: Chapters 24–26 The first three chapters of Book Two introduce the Gardiners,
who prove to be Elizabeth’s most sensible relatives. They often
seem to act as surrogate parents to Jane and Elizabeth. The nurturing
and supportive Gardiners take Jane to London to distract her from
her unhappiness over Bingley. However amusing the reader finds him, Mr.
Bennet, in contrast, seems to have no real understanding of when
his children even need help. He prefers withdrawing into the peace
of his library to coping with the problems facing his family. In particular,
Mr. Bennet’s amusement at his wife’s distress and his suggestion
that Elizabeth develop a crush on Wickham emphasize the extent to
which he has abandoned the paternal role in the family. His wit
and intelligence make him a sympathetic character in many ways,
but he seems to absent himself from important matters. Later in
the novel, his negligence allows Lydia to go to Brighton for the summer
and then to elope with Wickham. At this point in the novel, Austen
compels her reader to contrast Mr. Bennet’s unhelpful suggestion
about Wickham with Mrs. Gardiner’s recognition that the officer
is not a suitable match for her niece. "
Chapters 27–34,"Chapters 27–34 Summary: Chapters 27–29 In March, Elizabeth travels with Sir William
Lucas to visit Charlotte and her new husband, Mr. Collins. On the
way, they spend a night in London with Jane and the Gardiners. Elizabeth
and Mrs. Gardiner speak about Wickham’s attempts to win over Miss King.
Mrs. Gardiner is critical of him, calling him a “mercenary,” but
Elizabeth defends him, calling him prudent. Before Elizabeth leaves
London, the Gardiners invite her to accompany them on a tour, perhaps out to the lakes. Elizabeth
gleefully accepts. When Elizabeth arrives in Hunsford, the location
of Mr. Collins’s parish, the clergyman greets her enthusiastically,
as does Charlotte. On the second day of her visit, she sees Miss
de Bourgh, Lady de Bourgh’s daughter, from a window. The girl is “sickly
and cross,” Elizabeth decides, and she imagines with some satisfaction
Darcy’s marrying such an unappealing person. Miss de Bourgh invites
them to dine at Rosings, a mansion that awes even Sir William Lucas
with its grandeur. At dinner, Lady Catherine dominates the conversation.
After the meal, she grills Elizabeth concerning her upbringing,
deciding that the Bennet sisters have been badly reared. The failure
of Mrs. Bennet to hire a governess, the girls’ lack of musical and artistic
talents, and Elizabeth’s own impudence are all mentioned before
the end of the evening. Summary: Chapters 30–32 Sir William departs after a week, satisfied with his daughter’s
contentment. Shortly thereafter, Darcy and a cousin named Colonel Fitzwilliam
visit their aunt at Rosings. When Mr. Collins pays his respects,
the two men accompany him back to his parsonage and visit briefly
with Elizabeth and Charlotte. Another invitation to Rosings follows, and Colonel Fitzwilliam pays
special attention to Elizabeth during the dinner. After the meal, she
plays the pianoforte and pokes fun at Darcy, informing Colonel Fitzwilliam
of his bad behavior at the Meryton ball, at which he refused to
dance with her. Lady Catherine lectures Elizabeth on the proper
manner of playing the instrument, forcing Elizabeth to remain at
the keyboard until the end of the evening. The next day, Darcy visits the parsonage and tells Elizabeth
that Bingley is unlikely to spend much of his time at Netherfield
Park in the future. The rest of their conversation is awkward, and
when Darcy departs, Charlotte declares that he must be in love with
Elizabeth, or he would never have called in such an odd manner.
In the days that follow, both Darcy and his cousin visit frequently,
however, and eventually Charlotte surmises that it is perhaps Colonel Fitzwilliam
who is interested in Elizabeth. "
